Australia,Belgium,Brazil,Canada,Chile,China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Pakistan,Russia,Singapore,S Korea,Spain,Sweden,UK,US,Vietnam
24.7468637,38.57884772,25.64526517,22.22472913,18.84603251,24.92252229,34.80502697,30.4807708,41.41602513,15.95758035,25.30625149,7.389770723,22.52939505,23.9533474,33.66479633,27.40981143,18.30006807,15.51359852,18.57349066,68.72164337,31.61164638,27.85679714,37.92612429,25.08732641,33.65258952
14.44712009,21.97045994,32.00988509,19.66732158,17.4709966,16.07174703,29.02759473,29.60947019,27.40356617,8.85373422,25.28486591,2.292768959,22.98255854,38.61293116,29.80592934,36.07783836,27.43689385,36.94448624,30.06207625,79.09528506,22.30938815,38.5204343,16.42437594,18.3005592,29.00201458
23.41971562,22.51358684,16.85776338,32.04699707,25.23973319,15.54620746,35.18679093,30.29610303,36.35203523,32.41513036,71.04756268,4.926678526,31.10628403,28.84834708,31.06023966,33.74325403,26.95866557,31.69532422,22.50369179,46.5292096,22.2584459,44.45082694,35.73830192,12.84110229,24.48046102
13.86043119,39.3468549,12.86186529,23.02231601,25.1911225,25.33191226,34.58009387,29.95279403,59.00702707,35.82880149,16.53134273,6.73973293,32.94054835,27.92850423,33.03272256,23.03575831,36.39604524,16.37985992,18.36396791,56.91065408,33.59807,37.15105034,37.53471867,20.13185524,27.45187703
22.36222638,40.384941,16.75070508,26.67840757,13.56514264,28.0428053,29.40228951,27.91622616,22.22712984,16.13848982,22.57898831,8.15696649,43.59187848,46.42310308,31.48884487,39.84375861,35.52249131,25.78885971,36.23025652,45.17119894,31.2962449,37.02612339,17.96639187,45.47277981,19.34062425
15.1714051,26.6829686,12.05661379,43.36534471,12.39312285,29.55642468,34.37583108,35.19049965,55.91248555,43.01039907,24.23658865,21.19020062,24.12173079,57.43799452,39.5528569,34.53215482,31.50231761,27.12920426,34.21931236,21.30189323,25.87209688,45.50099872,40.03719935,33.83757301,23.94545422
16.76423855,56.78971297,18.55677754,53.01575334,12.77173939,24.33473429,33.14270399,40.72261153,51.69360559,37.80349723,23.50723039,4.268550013,41.82633933,18.49351249,41.85083079,25.71755138,26.19353968,10.53668318,11.48376083,22.28029979,33.12604995,49.14309124,49.36551999,44.04701718,29.58934665
17.69325922,43.32996182,11.99811661,20.43161058,15.65558038,11.26364781,33.44977367,28.73053986,29.36254814,14.13836527,22.66624776,6.679393138,45.07413365,22.29435832,25.4962907,57.0078464,28.29624281,25.21102063,22.18360636,24.91537988,27.90500371,34.38833285,24.10113398,32.30302804,22.01707027
26.85531287,30.40571106,13.23146614,12.77260582,12.09790195,21.04677999,47.13072031,43.55215342,52.94346927,39.05763171,16.80436624,6.35872615,34.57398018,38.86164446,33.62854809,55.78138048,27.90408818,25.73545107,29.50842997,10.83739458,20.06238964,48.04102886,30.29254257,48.49916999,51.3905935
35.36939704,76.11026071,19.70850724,45.81731762,14.9336566,15.81938197,35.25111779,60.39856696,51.85460279,53.18378409,15.73746964,2.09018091,63.02610085,18.81353866,30.35922453,30.7955144,16.1775426,12.36118375,23.27376644,37.40881087,68.55672751,44.45183226,39.20769065,52.49488817,26.0044789
10.18243019,36.42242211,24.08035742,46.55859498,9.423815648,33.92485247,32.53626949,43.7435985,25.44499086,9.18802246,8.594492218,4.025573192,27.7218559,31.08456736,34.22914156,38.93787656,59.35432799,11.6453385,10.32034238,35.66697917,28.90073416,31.93287582,27.15263009,32.38392922,22.95060455
22.89417819,28.94409058,13.25217121,20.07394831,7.242029597,13.19394567,31.52991989,23.46366316,22.43765156,12.86754027,14.20048261,4.265873016,19.6601356,26.49140176,18.07894241,16.83581763,36.78781994,10.5123079,11.38254742,24.4170769,23.38727344,30.46014875,28.30305989,29.19789725,16.46628097
26.22448231,17.87209161,15.22463694,30.36154882,6.466570441,15.68188754,26.0801435,29.01961201,23.62552636,13.3212043,11.47671643,1.499118166,20.89493364,28.3515868,20.34362827,14.34949005,37.84531413,28.35443651,19.34831201,27.9054633,15.5491645,33.63266631,28.1904309,23.7427592,22.47838489
28.83804561,17.46133571,34.83142276,13.57308837,13.02668913,24.56194733,28.6366187,46.18332923,22.79088389,27.09438482,13.93782968,2.21718317,25.00045573,13.93701127,31.19877506,16.00810863,17.42837866,19.0602013,9.819199004,29.21689178,15.49313108,47.19079984,20.67486417,29.90946559,14.47368244
21.1481399,30.25981578,18.00228447,10.01044849,10.20363894,19.1868476,31.97159232,40.46196223,22.64867534,17.03911595,17.19025541,6.098710317,16.75422784,36.31806968,28.30029676,22.99722769,18.53297438,16.95080968,17.12182991,19.53188532,21.36009733,34.62610046,14.04346499,25.78437613,11.559873
33.27175985,18.08499533,10.99637982,27.34536896,10.82463333,10.14764137,34.19295583,33.53330435,21.82751643,23.08755908,10.59071544,3.430335097,15.57863429,21.89222006,25.30050787,25.68556772,58.52508463,19.26726738,17.25072703,32.04221428,17.60094536,37.10616333,14.83276846,10.53163449,20.40453863
38.13673206,23.42369831,22.674949,9.867192392,11.51881114,21.61007863,35.38818987,29.78901107,17.05144541,15.85840964,9.981465556,1.969429747,19.87270533,36.56289578,31.95236354,15.2916688,24.57339189,18.06869592,15.16613771,15.21673385,17.84273929,28.84842918,15.584397,11.07408608,10.45883434
18.7635499,21.1850951,9.766865123,17.50159732,15.16929036,16.06110509,29.77479774,26.58971466,28.92035638,29.11704755,4.02290336,7.985530957,22.7207458,40.4868867,20.92003769,23.54189166,25.94219172,20.14862569,10.52017463,17.95988092,20.94630894,24.98214562,31.41258438,12.31514254,5.786887214
27.65573441,23.49242934,13.84849036,7.872522398,7.191010546,12.39258989,33.39305764,19.28368837,33.34253315,16.19075757,11.82376469,4.078220794,21.62106089,34.04287781,22.07629886,24.17338849,22.93786671,22.67683982,25.60099283,16.62737204,18.1769012,28.59942714,25.86844336,20.89551431,26.31713357
24.0908179,13.5141779,11.21475622,24.48393218,6.831213265,13.30117066,26.82424211,22.93046,23.1630145,18.39116186,19.85332999,1.744072114,19.47942397,21.56326701,19.10745381,19.86519675,23.3412861,21.7475351,16.17219186,26.64657762,23.83867178,39.39233982,18.01455325,18.87972033,13.72134249
29.78638872,18.42891402,35.04364541,20.56262183,9.760668465,14.36379358,24.21340583,24.37898021,16.99358717,17.31693536,18.11359999,1.940035273,17.80848711,32.26268727,21.28919497,18.19429828,20.74470713,17.80102546,17.70400145,18.80293789,22.99834339,33.72713134,15.79391287,13.95776659,52.33699031
27.15360967,15.43968588,15.6014373,12.49484451,6.082708569,18.71969753,22.27492396,22.72349166,13.93688521,17.38062818,9.183103031,0.786867454,14.75268068,25.22936912,30.0944827,15.20281901,17.68251468,18.50276155,20.21785415,23.72542762,27.86582753,34.99589131,13.79140428,24.3393321,29.92538383
24.22650007,15.66438361,13.86366456,21.84232176,8.548810234,9.138730218,23.32119346,26.65463517,22.28233116,17.04449156,17.84647802,4.357914462,22.32173059,19.17767326,23.29436449,35.0527664,9.312446741,17.84943785,16.5901505,14.9368687,34.38998039,33.80072153,22.78026846,19.85002907,26.98869187
16.81540314,25.18252578,9.088919198,10.61731635,3.845189046,16.74410536,28.26573053,20.21974288,47.44701015,16.22381946,10.22970746,4.482072711,23.11980513,11.84394689,23.06529241,26.09649228,14.23066401,21.97356035,13.21512509,18.97388186,33.07161778,31.26775465,27.25280474,18.90040572,27.87510403
