1. Economic Policy Uncertainty,2. Monetary policy,Fiscal Policy (Taxes OR Spending),3. Taxes,4. Government spending,5. Health care,6. National security,7. Entitlement programs,8. Regulation,Financial Regulation,9. Trade policy,"10. Sovereign debt, currency crises"
134.573995,173.24168,118.9170001,111.0557693,126.3916883,100.5121313,110.9362454,67.71736629,108.7333813,85.49049235,116.5589179,21.07855235
151.883382,141.7331091,174.9034345,176.5036348,199.4763928,174.1874467,180.1465785,121.4008387,128.1501488,66.22507697,286.8104685,167.9499546
155.7167824,195.9262274,151.8856398,149.6481953,209.7393409,151.1855598,145.5773164,91.13542219,141.672963,75.19925504,284.9667036,1439.256217
188.747608,195.2484823,222.4133667,204.8735013,280.5964373,205.0920368,197.279964,126.9718853,154.9073174,104.7692648,422.2296527,368.1050058
154.9961944,117.032596,166.9908661,159.6783994,205.5935704,226.195697,183.6382564,118.2361926,128.3253257,101.3551606,312.58801,122.6789085
100.6536007,57.60823272,85.90504356,79.65715027,95.51878479,112.3026295,95.23858677,60.00692057,101.2402224,73.19455079,132.0809048,182.724484
112.0049902,55.15993945,134.7219358,134.6690177,144.8746535,195.8579923,132.4573693,129.3667606,103.8617276,18.14671228,196.476444,60.40246807
113.3260729,101.6173094,164.7640107,176.6141057,201.3913876,187.9879176,73.96290868,157.9743419,171.2923658,85.96394333,117.2044275,148.3670056
134.0039309,82.28641241,130.7955504,124.2881423,130.7559434,182.0391789,132.9798271,157.8586642,138.1101463,102.200159,135.2428403,113.3932095
115.8018665,55.47373622,114.1436666,124.1901789,91.97962897,182.7220134,100.6571116,113.0547679,117.65923,26.43095664,127.1870517,39.10093073
153.300492,105.5729077,209.2150389,224.7830195,197.3122804,367.900842,122.3586265,225.7765395,310.3161524,34.42438853,260.901641,95.48644392
131.5552888,137.5609197,159.7299217,169.023802,86.46410887,264.2775461,107.2374166,151.8661291,141.8958002,55.09338272,192.2062312,81.50301069
118.8922253,132.8890062,154.4342188,157.1377313,155.9181326,199.5694209,98.99112672,74.98428045,124.5536101,45.33749214,386.1542131,321.9385203
143.3253918,145.9587308,176.7992846,186.5483655,170.6411705,231.4216697,76.23530691,240.2611869,131.6734099,35.85345516,608.1632227,218.7908625
124.841129,40.26895825,107.3519577,107.6508211,94.01269482,211.2053527,119.9630263,158.6640732,124.6870535,88.31883024,427.1194886,78.3932684
80.60397416,56.89054078,57.51690534,58.62695605,45.97538031,137.309153,68.63654284,56.92823245,74.58747559,8.318245171,354.2460408,18.45853326
100.2657783,57.2033482,64.56006607,65.5377634,46.74181808,152.4015642,88.07239806,82.64205053,92.15129163,35.12872558,1020.585881,19.48802711
87.490977,38.65647553,65.11004813,66.25293669,49.78041163,102.9275886,106.9430741,74.29791022,61.30680178,17.37003118,488.9748047,19.27241213
91.35413463,63.95991106,86.41476433,88.08253086,71.26734443,194.5837251,90.65597515,91.63963734,71.5289326,17.85361294,199.7464596,39.61791239
77.52547059,65.79154812,66.16582898,60.14952044,84.58643817,93.2766157,92.0864631,104.7377179,54.30707377,36.72978325,185.5827827,40.75246113
84.14653546,104.5888833,47.14123379,46.31978799,43.08974919,83.95373409,80.16332056,57.71590616,60.23816168,24.28801505,268.8127582,35.93074616
106.3709982,159.8695006,59.13709631,61.05405736,38.11545467,98.51093304,64.46294637,62.74897897,88.80708149,25.39041672,348.2127802,37.56159639
110.1581895,160.7677577,57.16944892,55.63052257,45.22162846,88.30716217,82.05215694,46.6624267,82.73033586,32.72748066,277.5694842,108.9354686
77.08012047,69.77451123,48.01204524,49.78751692,19.04311322,114.543001,86.9582439,38.58514519,70.99118497,33.82792866,201.4422814,187.6639644
87.78914405,73.57048406,49.95039219,42.67825758,52.68170604,107.1109588,93.65209665,44.03175267,94.92334941,25.73534419,309.5993266,57.10780303
87.7473441,100.5066393,47.78252131,46.75798384,44.79581763,163.86842,65.17400842,110.4019752,80.28614561,16.83310629,224.7797952,56.0300483
93.1808571,51.97155066,51.66643854,52.01518905,35.48289368,94.32717198,132.0233528,68.25785316,103.9322083,33.01641211,160.8625417,0
80.18196315,61.62653467,74.02822814,75.83542901,61.33112082,110.1246547,78.06787984,96.67644056,75.20968915,7.884378321,216.2580729,52.48729384
116.1364461,126.3685017,111.5743824,116.2319462,147.6710006,147.4601904,122.7934016,154.280619,120.4230868,24.59257194,627.2054709,18.1906479
87.64626396,86.43605695,78.69251858,83.39336442,73.77374853,81.58955158,70.21951224,62.13862445,92.74016698,58.66804085,362.9744643,111.5887128
131.6540693,185.1980705,121.8359724,124.1873525,127.8832046,132.2077243,64.0530678,189.5622663,152.8007172,112.1287792,433.5823537,622.0461044
130.3566806,166.7413204,112.4075109,105.6641596,129.5672274,67.86733843,137.1274339,151.610522,189.9863476,75.95328495,207.1115153,318.359963
96.35862162,96.29856451,93.91165714,83.88656998,120.0567227,99.2932646,73.51975742,123.3398455,159.4438721,65.97952071,179.9147795,146.4113106
69.77728369,49.73308923,54.81981337,57.30101823,63.5792602,70.65896206,63.08352171,84.13834539,96.28869928,23.29415087,56.04629469,68.92092419
63.30757797,39.37144283,50.59415114,51.99925161,46.40057919,49.56865785,56.58934093,56.01835953,73.51548175,15.11131619,114.5283144,50.29896212
94.5612944,120.1632785,80.00119405,69.31678231,109.3318951,70.43841255,83.52128901,101.5337692,85.65096556,46.44288455,122.9169833,223.2938489
89.35136289,88.64650384,66.42608928,61.07003589,103.2438149,81.3219999,71.13805902,114.1427653,80.94794875,24.01678659,46.22797908,53.29425197
45.52693452,35.92119879,33.04507723,26.79850484,44.10648527,45.5979975,35.16635842,63.63518479,61.65952786,7.695105356,72.20698301,17.07576
53.49117021,32.48447844,55.28647225,54.07656844,54.97198121,50.33596025,41.88150486,87.51615485,60.0155356,7.672616568,22.15260295,17.02585644
80.55272146,42.06806603,85.65940006,81.51889082,98.42278357,100.2323922,55.56881726,135.0577991,88.98989246,7.176141458,129.4947843,47.77247235
90.58875285,93.93924263,120.0434446,87.08200999,216.5006895,128.3454325,51.63764332,170.829613,53.61833546,14.79188059,80.07665671,32.82380049
111.6023127,176.5157021,150.7244268,94.1213411,296.7367539,198.0216556,69.12710408,262.4494549,77.55180163,69.02750833,38.75243572,34.03887165
116.6893102,138.4709603,154.1692344,119.865796,264.273298,147.2389264,53.97342529,222.6450679,117.9867626,38.65244475,44.63938756,17.15427767
90.7081012,57.52270373,104.9239181,102.0860436,143.5604931,120.3811842,73.19891254,122.2109199,89.19698337,15.5844894,191.2329727,0
80.61006604,68.22388146,80.04733286,78.7303722,88.09498783,85.29154496,45.95862189,97.39474985,95.13492828,13.66189038,138.0575331,45.47445757
62.70352938,29.41227211,73.17057781,66.80397884,81.73255199,82.98756867,57.92519224,91.4901707,62.57074826,7.129797294,66.9024176,15.82131781
74.73056783,57.68786295,64.95813343,71.74183432,36.2597871,67.76307084,70.91632663,102.9633497,113.0778751,20.43823116,83.59729988,15.1177627
70.12630217,71.41474328,60.11684866,59.39506381,61.34671053,85.0772478,69.59037303,52.10775038,80.88014138,43.85598042,84.41484618,16.21970854
64.63349734,92.13380976,34.5504216,35.78221167,25.0292593,54.79550024,31.04262729,55.37550911,52.14217673,7.192323721,51.91471848,0
70.6064179,42.34075809,80.60094248,87.77949906,67.00859535,100.2270362,64.54104514,154.9109619,112.9426742,34.82353146,60.32611108,15.45497399
68.01254032,68.95224723,47.78797621,49.70689233,36.52249856,74.0047969,67.94573685,89.54225765,77.60716379,7.136587948,51.5124136,31.67277312
67.23144302,45.35648661,73.85207136,80.83419151,67.87829338,96.8396743,65.66530872,100.2286017,75.91343534,39.79076703,67.01628866,14.71622884
62.45230494,31.46277412,74.33302908,76.67105302,81.92902175,141.6526909,56.06221172,149.5471909,71.0902465,6.900489923,89.65483343,15.31247519
62.99679184,60.65491913,47.96579489,46.32814761,46.92275006,42.44581037,49.10296492,75.57707763,73.79615314,21.4894294,118.919409,15.89531363
68.9113208,53.13118401,85.09770306,83.41758656,86.27217377,89.18956793,55.22548045,160.8836963,53.17033452,20.39249932,44.15836531,0
64.54440055,19.42384295,58.86348707,58.75018676,79.11356643,72.70123017,58.14570686,136.7372677,64.17435989,28.62775848,98.15269557,0
61.01566954,60.95910064,35.76176931,39.15313179,23.51204681,52.6654572,55.08169838,54.58760986,42.60812875,25.52396111,50.6642998,28.31936757
56.85521212,65.53338005,37.66068127,40.70350455,17.65332766,39.30832881,41.26290379,47.29095999,46.826472,13.26732524,67.03516653,73.60187132
74.99195665,75.03735614,70.05714063,72.3113421,62.15179239,68.35481673,52.48270988,93.9465568,67.78365357,6.459902304,139.8841414,28.66958574
75.94349581,54.07790851,62.08396321,58.27914328,58.66895743,46.21174601,51.97455841,68.10547345,119.7714734,81.88615453,68.95702922,45.42719877
57.1136192,24.04670856,46.85554604,51.08278607,41.09279799,76.17533591,48.32934199,57.2427652,67.3510508,6.922099944,89.93560231,30.72085745
66.42318316,75.88222824,64.4428606,62.3746508,55.87231763,50.71759481,43.94370302,79.72912759,82.55296403,6.6570678,134.5433659,103.4061794
47.76498995,16.57450987,42.51751993,46.78543716,27.17721236,42.14436223,26.12264109,81.39509971,60.78866897,6.638119441,114.9946355,14.73026414
72.45949887,80.45110452,46.86519612,48.35287713,21.13893753,37.27996973,30.07317756,76.2152366,73.00981836,42.52089765,100.8447973,283.0669405
78.51168233,53.72140119,51.92206763,57.01896001,26.31168468,29.92158948,66.89797779,32.98724583,68.66148179,38.56026953,180.9150491,313.7451082
61.67232735,59.10262712,47.74205257,51.66913682,13.42736353,40.25613391,42.46600442,46.76119998,81.34120246,59.03416255,66.28422913,858.7729986
107.5783743,120.8020118,88.90591978,94.38953112,129.6051226,139.4015223,68.19408963,202.425324,117.1290687,63.95244057,69.24200879,1490.08792
84.99236179,137.3872052,61.08514742,62.96170018,64.08444089,63.43231691,54.96023434,129.1571776,50.83012966,33.30388485,43.27017765,1492.834756
69.38604828,54.35452969,88.93704807,90.44539372,58.56791282,50.45704591,35.56287353,83.28551618,60.26995457,29.80290954,38.72152442,383.576622
67.67870712,56.65689446,69.71082747,73.23370426,43.43853314,50.97603317,53.14675646,86.67706328,44.86046474,11.47026821,74.51391112,381.7950594
64.06512808,60.9189276,46.11380867,44.02819494,41.99622673,25.53904595,65.10746076,30.97125126,65.61644464,18.10184157,108.88368,415.0770015
65.60018174,58.82242092,70.4250657,77.02026494,21.12738006,66.89059535,36.02954819,93.81034433,41.84186788,19.35160841,55.87252975,458.0482864
66.03146586,83.19637325,59.46769809,67.22145393,19.44788318,30.82848858,44.2205607,39.73366726,48.33342308,63.33608698,45.71645066,758.9452726
115.5147302,146.0987999,60.52774251,63.6905597,42.88316007,41.64643722,105.5661333,65.16737592,67.82149406,44.43662142,41.23887202,802.9404168
149.5518044,239.2139406,104.249081,107.5966508,102.7448094,94.5610351,110.3353965,200.7237538,79.40748395,30.60456372,66.27179358,923.6141403
112.1464394,157.4840303,98.10410959,103.7112399,86.51602901,78.56362855,59.45100323,114.0033963,79.54157799,22.84520184,74.20425174,342.1875815
95.782708,148.7490797,57.80821206,60.82892288,31.02758048,56.45519317,48.48740359,77.7992316,62.46088688,24.25146862,74.3957713,174.8988189
82.45076375,87.63404598,55.1113331,57.59503403,21.77680328,63.56671419,53.22313923,117.7725379,63.2743308,43.80396233,67.7529006,166.6334073
87.77779816,109.7778719,114.7834332,119.2840386,98.57290751,128.65666,62.65589089,235.1489471,76.93941271,54.17266979,69.51507401,400.7047187
62.55172892,37.1589174,50.27196516,51.69566246,36.28566421,77.61249572,50.4348709,115.0365654,51.3093178,18.33700842,75.00279157,67.81764521
54.81170068,49.21654488,45.07001322,48.59393209,20.37191373,36.27140146,37.89950699,52.02692461,50.62989715,16.58634629,119.7214602,49.07439304
47.56157168,34.72728771,46.15798548,50.2572444,35.61391822,27.31676197,47.73240791,38.40822142,44.96906296,22.44854538,52.6614536,199.2570371
48.31810249,30.15064845,29.10928528,29.93773342,20.46733092,15.28183048,55.00013892,30.09519759,44.50865609,27.77338797,24.0564414,98.60849161
50.56334961,58.49943254,43.96254502,47.62784185,29.09266837,56.3933829,37.58571328,57.41245572,36.15170442,29.60823161,59.84002655,39.42114113
70.32283475,89.19775326,77.87356973,84.79380535,137.945018,153.8684573,57.77931269,198.9015044,28.19341357,5.911141004,51.20045755,78.70241182
52.9488341,77.38758338,44.77192533,50.05158171,47.07297482,48.66480236,35.75923431,67.21255455,47.16138967,22.99544377,49.79483833,63.78481204
57.72179647,64.48694182,30.34825299,30.31079477,24.55386089,59.22974942,46.40459083,48.86260792,46.85710322,45.6941532,37.1051706,88.7225792
53.87392133,64.1780985,36.55544106,34.27002339,32.12859325,43.17957683,40.511728,40.27996751,38.92615855,15.69501954,45.31511942,69.65580703
53.39345043,56.33389621,33.66419297,36.94774698,16.16486386,47.74713595,44.39317252,62.7282995,86.08757755,45.12364283,126.2109793,125.1640588
71.88902868,115.68965,48.47824819,52.00566206,19.31542434,61.08041722,43.68451306,85.46808706,69.88850528,33.30249201,128.2025719,36.94980997
56.99793717,47.46965155,57.20706806,60.58174678,38.5238713,84.33868433,67.45322473,96.27992271,73.91890602,16.60513502,71.91424718,122.8249592
50.00945874,53.6419412,62.62095243,67.48270821,59.50008938,57.82142503,25.82831864,61.33441531,62.10722503,23.25293381,50.35241291,38.69942308
62.83560172,49.18063888,45.94076661,51.49237197,11.46196026,37.70314486,51.69358806,31.93329888,81.57404231,40.72174223,88.17975384,45.18162293
58.36208567,86.93387081,46.78709526,47.88025509,20.07272069,29.97439344,36.65135908,57.47650503,104.9691293,76.2661674,82.57421586,72.53048959
73.3153766,95.2413444,48.27167287,54.55891037,20.31102731,38.68028387,40.43790071,72.96746541,68.7438521,46.9992523,245.009584,23.1762895
66.55483195,88.45760827,36.06520291,39.2600489,22.54060283,40.7799693,42.63299502,75.35839846,110.2887754,22.02245203,35.7659255,73.30311051
52.77493363,43.26377388,36.7689268,39.56069245,12.63923504,54.64233579,25.65140061,78.42943326,58.89755672,39.29129069,60.77301621,37.36672037
46.9661086,55.60194959,25.86695157,26.00124252,22.46701072,69.68027665,32.50892101,44.70973998,57.83096987,26.13160906,22.63438377,0
65.62060303,82.06733715,45.01865956,48.02977323,35.1705953,75.83642542,52.34454613,57.39187631,90.84267072,29.45323995,99.21129841,141.6089327
66.71499726,70.28354685,60.73535063,67.60016104,49.08535763,89.31161579,56.0080252,112.137456,88.74832682,23.97850541,65.76986998,85.13488711
137.9984526,227.2234245,94.58327215,102.8157307,56.85788892,176.3418142,93.18476118,166.8935692,115.4433761,49.5989924,143.2036614,99.05601111
122.6100449,210.6738224,120.5777446,132.1313113,93.66245034,153.5920257,99.47478486,181.4623474,113.3786263,63.10992427,98.69861032,81.69207454
